trial_id,trajectory_name,axis,k_index,relative_csv_path,relative_mat_path,n_samples,n_raw_samples,n_removed_samples,valid_fraction,duration_s,sample_rate_hz,source_muse_file,source_robot_file,valid,notes
muse_x_k001_t1,t1,x,1,trajectories/t1/x/aligned_quaternions.csv,trajectories/t1/x/aligned_quaternions.mat,6854,6854,0,1,54.824,125,t1_wst.txt,t1_wst.mat,1,ok
muse_x_k002_t2,t2,x,2,trajectories/t2/x/aligned_quaternions.csv,trajectories/t2/x/aligned_quaternions.mat,6990,6990,0,1,55.912,125,t2_wst.txt,t2_wst.mat,1,ok
muse_x_k003_t3_f1_a1,t3_f1_A1,x,3,trajectories/t3_f1_a1/x/aligned_quaternions.csv,trajectories/t3_f1_a1/x/aligned_quaternions.mat,2436,2436,0,1,19.48,125,t3_f1_A1_wst.txt,t3_f1_A1_wst.mat,1,ok
muse_x_k004_t3_f1_a2,t3_f1_A2,x,4,trajectories/t3_f1_a2/x/aligned_quaternions.csv,trajectories/t3_f1_a2/x/aligned_quaternions.mat,2415,2415,0,1,19.312,125,t3_f1_A2_wst.txt,t3_f1_A2_wst.mat,1,ok
muse_x_k005_t3_f1_a3,t3_f1_A3,x,5,trajectories/t3_f1_a3/x/aligned_quaternions.csv,trajectories/t3_f1_a3/x/aligned_quaternions.mat,2442,2442,0,1,19.528,125,t3_f1_A3_wst.txt,t3_f1_A3_wst.mat,1,ok
muse_x_k006_t3_f2_a1,t3_f2_A1,x,6,trajectories/t3_f2_a1/x/aligned_quaternions.csv,trajectories/t3_f2_a1/x/aligned_quaternions.mat,927,927,0,1,7.408,125,t3_f2_A1_wst.txt,t3_f2_A1_wst.mat,1,ok
muse_x_k007_t3_f2_a2,t3_f2_A2,x,7,trajectories/t3_f2_a2/x/aligned_quaternions.csv,trajectories/t3_f2_a2/x/aligned_quaternions.mat,948,948,0,1,7.576,125,t3_f2_A2_wst.txt,t3_f2_A2_wst.mat,1,ok
muse_x_k008_t3_f2_a3,t3_f2_A3,x,8,trajectories/t3_f2_a3/x/aligned_quaternions.csv,trajectories/t3_f2_a3/x/aligned_quaternions.mat,929,929,0,1,7.424,125,t3_f2_A3_wst.txt,t3_f2_A3_wst.mat,1,ok
muse_x_k009_t3_f3_a1,t3_f3_A1,x,9,trajectories/t3_f3_a1/x/aligned_quaternions.csv,trajectories/t3_f3_a1/x/aligned_quaternions.mat,448,448,0,1,3.576,125,t3_f3_A1_wst.txt,t3_f3_A1_wst.mat,1,ok
muse_x_k010_t3_f3_a2,t3_f3_A2,x,10,trajectories/t3_f3_a2/x/aligned_quaternions.csv,trajectories/t3_f3_a2/x/aligned_quaternions.mat,492,492,0,1,3.928,125,t3_f3_A2_wst.txt,t3_f3_A2_wst.mat,1,ok
muse_x_k011_t3_f3_a3,t3_f3_A3,x,11,trajectories/t3_f3_a3/x/aligned_quaternions.csv,trajectories/t3_f3_a3/x/aligned_quaternions.mat,418,418,0,1,3.336,125,t3_f3_A3_wst.txt,t3_f3_A3_wst.mat,1,ok
muse_x_k012_t4_10,t4_10,x,12,trajectories/t4_10/x/aligned_quaternions.csv,trajectories/t4_10/x/aligned_quaternions.mat,17588,17588,0,1,140.696,125,t4_10_wst.txt,t4_10_wst.mat,1,ok
muse_x_k013_t4_110,t4_110,x,13,trajectories/t4_110/x/aligned_quaternions.csv,trajectories/t4_110/x/aligned_quaternions.mat,1482,1482,0,1,11.848,125,t4_110_wst.txt,t4_110_wst.mat,1,ok
muse_x_k014_t4_130,t4_130,x,14,trajectories/t4_130/x/aligned_quaternions.csv,trajectories/t4_130/x/aligned_quaternions.mat,1374,1374,0,1,10.984,125,t4_130_wst.txt,t4_130_wst.mat,1,ok
muse_x_k015_t4_150,t4_150,x,15,trajectories/t4_150/x/aligned_quaternions.csv,trajectories/t4_150/x/aligned_quaternions.mat,1094,1094,0,1,8.744,125,t4_150_wst.txt,t4_150_wst.mat,1,ok
muse_x_k016_t4_30,t4_30,x,16,trajectories/t4_30/x/aligned_quaternions.csv,trajectories/t4_30/x/aligned_quaternions.mat,5972,5972,0,1,47.768,125,t4_30_wst.txt,t4_30_wst.mat,1,ok
muse_x_k017_t4_50,t4_50,x,17,trajectories/t4_50/x/aligned_quaternions.csv,trajectories/t4_50/x/aligned_quaternions.mat,3581,3581,0,1,28.64,125,t4_50_wst.txt,t4_50_wst.mat,1,ok
muse_x_k018_t4_70,t4_70,x,18,trajectories/t4_70/x/aligned_quaternions.csv,trajectories/t4_70/x/aligned_quaternions.mat,2556,2556,0,1,20.44,125,t4_70_wst.txt,t4_70_wst.mat,1,ok
muse_x_k019_t4_90,t4_90,x,19,trajectories/t4_90/x/aligned_quaternions.csv,trajectories/t4_90/x/aligned_quaternions.mat,1833,1833,0,1,14.656,125,t4_90_wst.txt,t4_90_wst.mat,1,ok
muse_x_k020_t5,t5,x,20,trajectories/t5/x/aligned_quaternions.csv,trajectories/t5/x/aligned_quaternions.mat,3445,3445,0,1,27.552,125,t5_wst.txt,t5_wst.mat,1,ok
muse_x_k021_t7y_a1_w1,t7y_a1_w1,x,21,trajectories/t7y_a1_w1/x/aligned_quaternions.csv,trajectories/t7y_a1_w1/x/aligned_quaternions.mat,2671,2671,0,1,21.36,125,t7y_a1_w1_wst.txt,t7y_a1_w1_wst.mat,1,ok
muse_x_k022_t7y_a1_w3,t7y_a1_w3,x,22,trajectories/t7y_a1_w3/x/aligned_quaternions.csv,trajectories/t7y_a1_w3/x/aligned_quaternions.mat,2595,2595,0,1,20.752,125,t7y_a1_w3_wst.txt,t7y_a1_w3_wst.mat,1,ok
muse_x_k023_t7y_a3_w1,t7y_a3_w1,x,23,trajectories/t7y_a3_w1/x/aligned_quaternions.csv,trajectories/t7y_a3_w1/x/aligned_quaternions.mat,1607,1607,0,1,12.848,125,t7y_a3_w1_wst.txt,t7y_a3_w1_wst.mat,1,ok
muse_x_k024_t7y_a3_w3,t7y_a3_w3,x,24,trajectories/t7y_a3_w3/x/aligned_quaternions.csv,trajectories/t7y_a3_w3/x/aligned_quaternions.mat,1659,1659,0,1,13.264,125,t7y_a3_w3_wst.txt,t7y_a3_w3_wst.mat,1,ok
muse_x_k025_t7z_a1_w1,t7z_a1_w1,x,25,trajectories/t7z_a1_w1/x/aligned_quaternions.csv,trajectories/t7z_a1_w1/x/aligned_quaternions.mat,2613,2613,0,1,20.896,125,t7z_a1_w1_wst.txt,t7z_a1_w1_wst.mat,1,ok
muse_x_k026_t7z_a1_w3,t7z_a1_w3,x,26,trajectories/t7z_a1_w3/x/aligned_quaternions.csv,trajectories/t7z_a1_w3/x/aligned_quaternions.mat,2643,2643,0,1,21.136,125,t7z_a1_w3_wst.txt,t7z_a1_w3_wst.mat,1,ok
muse_x_k027_t7z_a3_w1,t7z_a3_w1,x,27,trajectories/t7z_a3_w1/x/aligned_quaternions.csv,trajectories/t7z_a3_w1/x/aligned_quaternions.mat,1720,1720,0,1,13.752,125,t7z_a3_w1_wst.txt,t7z_a3_w1_wst.mat,1,ok
muse_x_k028_t7z_a3_w3,t7z_a3_w3,x,28,trajectories/t7z_a3_w3/x/aligned_quaternions.csv,trajectories/t7z_a3_w3/x/aligned_quaternions.mat,1721,1721,0,1,13.76,125,t7z_a3_w3_wst.txt,t7z_a3_w3_wst.mat,1,ok
muse_y_k001_t1,t1,y,1,trajectories/t1/y/aligned_quaternions.csv,trajectories/t1/y/aligned_quaternions.mat,6836,6836,0,1,54.68,125,t1_wst.txt,t1_wst.mat,1,ok
muse_y_k002_t2,t2,y,2,trajectories/t2/y/aligned_quaternions.csv,trajectories/t2/y/aligned_quaternions.mat,6992,6992,0,1,55.928,125,t2_wst.txt,t2_wst.mat,1,ok
muse_y_k003_t3_f1_a1,t3_f1_A1,y,3,trajectories/t3_f1_a1/y/aligned_quaternions.csv,trajectories/t3_f1_a1/y/aligned_quaternions.mat,2418,2418,0,1,19.336,125,t3_f1_A1_wst.txt,t3_f1_A1_wst.mat,1,ok
muse_y_k004_t3_f1_a2,t3_f1_A2,y,4,trajectories/t3_f1_a2/y/aligned_quaternions.csv,trajectories/t3_f1_a2/y/aligned_quaternions.mat,2420,2420,0,1,19.352,125,t3_f1_A2_wst.txt,t3_f1_A2_wst.mat,1,ok
muse_y_k005_t3_f1_a3,t3_f1_A3,y,5,trajectories/t3_f1_a3/y/aligned_quaternions.csv,trajectories/t3_f1_a3/y/aligned_quaternions.mat,2427,2427,0,1,19.408,125,t3_f1_A3_wst.txt,t3_f1_A3_wst.mat,1,ok
muse_y_k006_t3_f2_a1,t3_f2_A1,y,6,trajectories/t3_f2_a1/y/aligned_quaternions.csv,trajectories/t3_f2_a1/y/aligned_quaternions.mat,990,990,0,1,7.912,125,t3_f2_A1_wst.txt,t3_f2_A1_wst.mat,1,ok
muse_y_k007_t3_f2_a2,t3_f2_A2,y,7,trajectories/t3_f2_a2/y/aligned_quaternions.csv,trajectories/t3_f2_a2/y/aligned_quaternions.mat,946,946,0,1,7.56,125,t3_f2_A2_wst.txt,t3_f2_A2_wst.mat,1,ok
muse_y_k008_t3_f2_a3,t3_f2_A3,y,8,trajectories/t3_f2_a3/y/aligned_quaternions.csv,trajectories/t3_f2_a3/y/aligned_quaternions.mat,915,915,0,1,7.312,125,t3_f2_A3_wst.txt,t3_f2_A3_wst.mat,1,ok
muse_y_k009_t3_f3_a1,t3_f3_A1,y,9,trajectories/t3_f3_a1/y/aligned_quaternions.csv,trajectories/t3_f3_a1/y/aligned_quaternions.mat,435,435,0,1,3.472,125,t3_f3_A1_wst.txt,t3_f3_A1_wst.mat,1,ok
muse_y_k010_t3_f3_a2,t3_f3_A2,y,10,trajectories/t3_f3_a2/y/aligned_quaternions.csv,trajectories/t3_f3_a2/y/aligned_quaternions.mat,451,451,0,1,3.6,125,t3_f3_A2_wst.txt,t3_f3_A2_wst.mat,1,ok
muse_y_k011_t3_f3_a3,t3_f3_A3,y,11,trajectories/t3_f3_a3/y/aligned_quaternions.csv,trajectories/t3_f3_a3/y/aligned_quaternions.mat,493,493,0,1,3.936,125,t3_f3_A3_wst.txt,t3_f3_A3_wst.mat,1,ok
muse_y_k012_t4_10,t4_10,y,12,trajectories/t4_10/y/aligned_quaternions.csv,trajectories/t4_10/y/aligned_quaternions.mat,17922,17922,0,1,143.368,125,t4_10_wst.txt,t4_10_wst.mat,1,ok
muse_y_k013_t4_110,t4_110,y,13,trajectories/t4_110/y/aligned_quaternions.csv,trajectories/t4_110/y/aligned_quaternions.mat,1486,1486,0,1,11.88,125,t4_110_wst.txt,t4_110_wst.mat,1,ok
muse_y_k014_t4_130,t4_130,y,14,trajectories/t4_130/y/aligned_quaternions.csv,trajectories/t4_130/y/aligned_quaternions.mat,1210,1210,0,1,9.672,125,t4_130_wst.txt,t4_130_wst.mat,1,ok
muse_y_k015_t4_150,t4_150,y,15,trajectories/t4_150/y/aligned_quaternions.csv,trajectories/t4_150/y/aligned_quaternions.mat,979,979,0,1,7.824,125,t4_150_wst.txt,t4_150_wst.mat,1,ok
muse_y_k016_t4_30,t4_30,y,16,trajectories/t4_30/y/aligned_quaternions.csv,trajectories/t4_30/y/aligned_quaternions.mat,5728,5728,0,1,45.816,125,t4_30_wst.txt,t4_30_wst.mat,1,ok
muse_y_k017_t4_50,t4_50,y,17,trajectories/t4_50/y/aligned_quaternions.csv,trajectories/t4_50/y/aligned_quaternions.mat,3343,3343,0,1,26.736,125,t4_50_wst.txt,t4_50_wst.mat,1,ok
muse_y_k018_t4_70,t4_70,y,18,trajectories/t4_70/y/aligned_quaternions.csv,trajectories/t4_70/y/aligned_quaternions.mat,2465,2465,0,1,19.712,125,t4_70_wst.txt,t4_70_wst.mat,1,ok
muse_y_k019_t4_90,t4_90,y,19,trajectories/t4_90/y/aligned_quaternions.csv,trajectories/t4_90/y/aligned_quaternions.mat,1842,1842,0,1,14.728,125,t4_90_wst.txt,t4_90_wst.mat,1,ok
muse_y_k020_t5,t5,y,20,trajectories/t5/y/aligned_quaternions.csv,trajectories/t5/y/aligned_quaternions.mat,3368,3368,0,1,26.936,125,t5_wst.txt,t5_wst.mat,1,ok
muse_y_k021_t7x_a1_w1,t7x_a1_w1,y,21,trajectories/t7x_a1_w1/y/aligned_quaternions.csv,trajectories/t7x_a1_w1/y/aligned_quaternions.mat,2629,2629,0,1,21.024,125,t7x_a1_w1_wst.txt,t7x_a1_w1_wst.mat,1,ok
muse_y_k022_t7x_a1_w3,t7x_a1_w3,y,22,trajectories/t7x_a1_w3/y/aligned_quaternions.csv,trajectories/t7x_a1_w3/y/aligned_quaternions.mat,389,3113,2724,0.124959845807902,3.104,125,t7x_a1_w3_wst.txt,t7x_a1_w3_wst.mat,0,questionable: valid_fraction 0.1250 below threshold 0.9500; 2724/3113 raw samples removed
muse_y_k023_t7x_a31_w1,t7x_a31_w1,y,23,trajectories/t7x_a31_w1/y/aligned_quaternions.csv,trajectories/t7x_a31_w1/y/aligned_quaternions.mat,1876,1876,0,1,15,125,t7x_a31_w1_wst.txt,t7x_a3_w1_wst.mat,1,ok
muse_y_k024_t7x_a3_w3,t7x_a3_w3,y,24,trajectories/t7x_a3_w3/y/aligned_quaternions.csv,trajectories/t7x_a3_w3/y/aligned_quaternions.mat,1770,1770,0,1,14.152,125,t7x_a3_w3_wst.txt,t7y_a3_w3_wst.mat,1,ok
muse_y_k025_t7z_a1_w1,t7z_a1_w1,y,25,trajectories/t7z_a1_w1/y/aligned_quaternions.csv,trajectories/t7z_a1_w1/y/aligned_quaternions.mat,2563,2563,0,1,20.496,125,t7z_a1_w1_wst.txt,t7z_a1_w1_wst.mat,1,ok
muse_y_k026_t7z_a1_w3,t7z_a1_w3,y,26,trajectories/t7z_a1_w3/y/aligned_quaternions.csv,trajectories/t7z_a1_w3/y/aligned_quaternions.mat,2609,2609,0,1,20.864,125,t7z_a1_w3_wst.txt,t7z_a1_w3_wst.mat,1,ok
muse_y_k027_t7z_a3_w1,t7z_a3_w1,y,27,trajectories/t7z_a3_w1/y/aligned_quaternions.csv,trajectories/t7z_a3_w1/y/aligned_quaternions.mat,1645,1645,0,1,13.152,125,t7z_a3_w1_wst.txt,t7z_a3_w1_wst.mat,1,ok
muse_y_k028_t7z_a3_w3,t7z_a3_w3,y,28,trajectories/t7z_a3_w3/y/aligned_quaternions.csv,trajectories/t7z_a3_w3/y/aligned_quaternions.mat,1657,1657,0,1,13.248,125,t7z_a3_w3_wst.txt,t7z_a3_w3_wst.mat,1,ok
muse_z_k001_t1,t1,z,1,trajectories/t1/z/aligned_quaternions.csv,trajectories/t1/z/aligned_quaternions.mat,6752,6752,0,1,54.008,125,t1_wst.txt,t1_wst.mat,1,ok
muse_z_k002_t2,t2,z,2,trajectories/t2/z/aligned_quaternions.csv,trajectories/t2/z/aligned_quaternions.mat,6970,6970,0,1,55.752,125,t2_wst.txt,t2_wst.mat,1,ok
muse_z_k003_t3_f1_a1,t3_f1_A1,z,3,trajectories/t3_f1_a1/z/aligned_quaternions.csv,trajectories/t3_f1_a1/z/aligned_quaternions.mat,1954,1954,0,1,15.624,125,t3_f1_A1_wst.txt,t3_f1_A1_wst.mat,1,ok
muse_z_k004_t3_f1_a2,t3_f1_A2,z,4,trajectories/t3_f1_a2/z/aligned_quaternions.csv,trajectories/t3_f1_a2/z/aligned_quaternions.mat,2393,2393,0,1,19.136,125,t3_f1_A2_wst.txt,t3_f1_A2_wst.mat,1,ok
muse_z_k005_t3_f1_a3,t3_f1_A3,z,5,trajectories/t3_f1_a3/z/aligned_quaternions.csv,trajectories/t3_f1_a3/z/aligned_quaternions.mat,1961,1961,0,1,15.68,125,t3_f1_A3_wst.txt,t3_f1_A3_wst.mat,1,ok
muse_z_k006_t3_f2_a1,t3_f2_A1,z,6,trajectories/t3_f2_a1/z/aligned_quaternions.csv,trajectories/t3_f2_a1/z/aligned_quaternions.mat,990,990,0,1,7.912,125,t3_f2_A1_wst.txt,t3_f2_A1_wst.mat,1,ok
muse_z_k007_t3_f2_a2,t3_f2_A2,z,7,trajectories/t3_f2_a2/z/aligned_quaternions.csv,trajectories/t3_f2_a2/z/aligned_quaternions.mat,911,911,0,1,7.28,125,t3_f2_A2_wst.txt,t3_f2_A2_wst.mat,1,ok
muse_z_k008_t3_f2_a3,t3_f2_A3,z,8,trajectories/t3_f2_a3/z/aligned_quaternions.csv,trajectories/t3_f2_a3/z/aligned_quaternions.mat,990,990,0,1,7.912,125,t3_f2_A3_wst.txt,t3_f2_A3_wst.mat,1,ok
muse_z_k009_t3_f3_a1,t3_f3_A1,z,9,trajectories/t3_f3_a1/z/aligned_quaternions.csv,trajectories/t3_f3_a1/z/aligned_quaternions.mat,410,410,0,1,3.272,125,t3_f3_A1_wst.txt,t3_f3_A1_wst.mat,1,ok
muse_z_k010_t3_f3_a2,t3_f3_A2,z,10,trajectories/t3_f3_a2/z/aligned_quaternions.csv,trajectories/t3_f3_a2/z/aligned_quaternions.mat,438,438,0,1,3.496,125,t3_f3_A2_wst.txt,t3_f3_A2_wst.mat,1,ok
muse_z_k011_t3_f3_a3,t3_f3_A3,z,11,trajectories/t3_f3_a3/z/aligned_quaternions.csv,trajectories/t3_f3_a3/z/aligned_quaternions.mat,393,393,0,1,3.136,125,t3_f3_A3_wst.txt,t3_f3_A3_wst.mat,1,ok
muse_z_k012_t4_10,t4_10,z,12,trajectories/t4_10/z/aligned_quaternions.csv,trajectories/t4_10/z/aligned_quaternions.mat,17556,17556,0,1,140.44,125,t4_10_wst.txt,t4_10_wst.mat,1,ok
muse_z_k013_t4_110,t4_110,z,13,trajectories/t4_110/z/aligned_quaternions.csv,trajectories/t4_110/z/aligned_quaternions.mat,1477,1477,0,1,11.808,125,t4_110_wst.txt,t4_110_wst.mat,1,ok
muse_z_k014_t4_130,t4_130,z,14,trajectories/t4_130/z/aligned_quaternions.csv,trajectories/t4_130/z/aligned_quaternions.mat,1244,1244,0,1,9.944,125,t4_130_wst.txt,t4_130_wst.mat,1,ok
muse_z_k015_t4_150,t4_150,z,15,,,0,0,0,0,NaN,125,t4_150_wst.txt,t4_150_wst.mat,0,No valid samples after NaN/Inf and quaternion-norm filtering. Raw samples=1069.
muse_z_k016_t4_30,t4_30,z,16,trajectories/t4_30/z/aligned_quaternions.csv,trajectories/t4_30/z/aligned_quaternions.mat,2153,5730,3577,0.375741710296684,17.216,125,t4_30_wst.txt,t4_30_wst.mat,0,questionable: valid_fraction 0.3757 below threshold 0.9500; 3577/5730 raw samples removed
muse_z_k017_t4_50,t4_50,z,17,trajectories/t4_50/z/aligned_quaternions.csv,trajectories/t4_50/z/aligned_quaternions.mat,3341,3341,0,1,26.72,125,t4_50_wst.txt,t4_50_wst.mat,1,ok
muse_z_k018_t4_70,t4_70,z,18,trajectories/t4_70/z/aligned_quaternions.csv,trajectories/t4_70/z/aligned_quaternions.mat,2321,2321,0,1,18.56,125,t4_70_wst.txt,t4_70_wst.mat,1,ok
muse_z_k019_t4_90,t4_90,z,19,trajectories/t4_90/z/aligned_quaternions.csv,trajectories/t4_90/z/aligned_quaternions.mat,1810,1810,0,1,14.472,125,t4_90_wst.txt,t4_90_wst.mat,1,ok
muse_z_k020_t5,t5,z,20,trajectories/t5/z/aligned_quaternions.csv,trajectories/t5/z/aligned_quaternions.mat,3383,3383,0,1,27.056,125,t5_wst.txt,t5_wst.mat,1,ok
muse_z_k021_t7x_a1_w1,t7x_a1_w1,z,21,trajectories/t7x_a1_w1/z/aligned_quaternions.csv,trajectories/t7x_a1_w1/z/aligned_quaternions.mat,2616,2616,0,1,20.92,125,t7x_a1_w1_wst.txt,t7x_a1_w1_wst.mat,1,ok
muse_z_k022_t7x_a1_w3,t7x_a1_w3,z,22,trajectories/t7x_a1_w3/z/aligned_quaternions.csv,trajectories/t7x_a1_w3/z/aligned_quaternions.mat,2608,2608,0,1,20.856,125,t7x_a1_w3_wst.txt,t7x_a1_w3_wst.mat,1,ok
muse_z_k023_t7x_a3_w1,t7x_a3_w1,z,23,trajectories/t7x_a3_w1/z/aligned_quaternions.csv,trajectories/t7x_a3_w1/z/aligned_quaternions.mat,1688,1688,0,1,13.496,125,t7x_a3_w1_wst.txt,t7x_a3_w1_wst.mat,1,ok
muse_z_k024_t7x_a3_w3,t7x_a3_w3,z,24,trajectories/t7x_a3_w3/z/aligned_quaternions.csv,trajectories/t7x_a3_w3/z/aligned_quaternions.mat,1621,1621,0,1,12.96,125,t7x_a3_w3_wst.txt,t7x_a3_w3_wst.mat,1,ok
muse_z_k025_t7y_a1_w1,t7y_a1_w1,z,25,trajectories/t7y_a1_w1/z/aligned_quaternions.csv,trajectories/t7y_a1_w1/z/aligned_quaternions.mat,2651,2651,0,1,21.2,125,t7y_a1_w1_wst.txt,t7y_a1_w1_wst.mat,1,ok
muse_z_k026_t7y_a1_w3,t7y_a1_w3,z,26,trajectories/t7y_a1_w3/z/aligned_quaternions.csv,trajectories/t7y_a1_w3/z/aligned_quaternions.mat,2967,2967,0,1,23.728,125,t7y_a1_w3_wst.txt,t7y_a1_w3_wst.mat,1,ok
muse_z_k027_t7y_a3_w1,t7y_a3_w1,z,27,trajectories/t7y_a3_w1/z/aligned_quaternions.csv,trajectories/t7y_a3_w1/z/aligned_quaternions.mat,1649,1649,0,1,13.184,125,t7y_a3_w1_wst.txt,t7y_a3_w1_wst.mat,1,ok
muse_z_k028_t7y_a3_w3,t7y_a3_w3,z,28,trajectories/t7y_a3_w3/z/aligned_quaternions.csv,trajectories/t7y_a3_w3/z/aligned_quaternions.mat,1700,1700,0,1,13.592,125,t7y_a3_w3_wst.txt,t7y_a3_w3_wst.mat,1,ok
